Progress;Duration (in seconds);Finished;ResponseId;Q11;age;gender;country;education;dutch;english;mandarin;hindi;nat_habits;enjoy_E_low;valence_E_low_1;familiar_E_low;enjoy_H_mid;valence_H_mid_1;familiar_H_mid;enjoy_D_low;valence_D_low_1;familiar_D_low;enjoy_H_high;valence_H_high_1;familiar_H_high;enjoy_M_high;valence_M_high_1;familiar_M_high;enjoy_E_mid;valence_E_mid_1;familiar_E_mid;enjoy_D_mid;valence_D_mid_1;familiar_D_mid;enjoy_H_low;valence_H_low_1;familiar_H_low;enjoy_M_low;valence_M_low_1;familiar_M_low;enjoy_E_high;valence_E_high_1;familiar_E_high;enjoy_M_mid;valence_M_mid_1;familiar_M_mid;enjoy_D_high;valence_D_high_1;familiar_D_high
100;613;1;R_2YJ0Vxk7c4WSNZZ;1;57;2;122;6;6;4;1;1;4;2;3;1;1;5;1;1;3;1;1;5;1;2;4;1;3;4;1;3;4;1;3;4;1;3;4;1;4;6;4;2;4;1;3;6;3
100;307;1;R_VKYSIfMOqEtyech;1;23;2;185;3;1;6;1;1;2;2;1;5;2;4;1;2;1;2;4;6;2;4;2;1;3;1;3;2;7;1;4;7;1;3;1;1;3;5;2;2;2;1;1;7;1
100;499;1;R_2rqqtdKFN5Bu3Bs;1;46;2;122;4;6;3;1;1;4;3;4;3;1;6;1;1;3;1;2;6;1;3;3;1;1;2;1;2;3;3;1;4;1;2;3;1;2;5;2;2;5;1;3;6;3
100;427;1;R_3KBCytTC9Xg6tRw;1;20;2;122;2;6;5;1;1;5;2;2;1;1;6;1;2;2;2;1;6;1;4;6;1;2;2;1;1;3;1;2;3;1;2;2;1;4;6;3;2;2;1;1;7;1
100;582;1;R_3dH9Ebp8WrZXDui;1;24;1;107;3;1;6;1;1;3;4;3;4;4;6;1;3;5;1;3;5;1;4;5;1;3;3;1;3;5;1;5;6;1;5;6;1;4;4;2;5;5;1;3;7;1
100;1115;1;R_3m3St6P48ggCiZr;1;54;2;122;3;5;2;1;1;2;2;4;3;3;5;2;2;2;2;4;5;2;4;6;3;3;5;3;3;2;4;4;6;2;3;4;3;4;6;4;2;2;2;1;4;2
100;599;1;R_3hsAQ5yEc6i2x6B;1;41;1;122;1;6;2;1;1;4;3;4;3;3;5;1;2;4;1;1;5;1;1;4;1;3;3;3;2;3;1;2;3;1;2;4;1;4;4;4;3;4;1;2;6;3
100;4292;1;R_1rAojgTsh6mZbl9;1;59;2;122;2;6;4;1;1;5;5;7;5;1;4;1;1;3;1;1;4;1;1;3;1;3;5;3;3;5;3;1;2;1;1;4;1;5;7;5;3;4;1;1;1;1
100;790;1;R_10qnRBARA2N05V9;1;18;3;122;2;6;5;1;1;2;5;3;4;4;4;1;2;2;1;3;6;1;4;4;1;4;2;1;3;4;2;3;4;1;5;2;1;5;6;3;4;4;1;2;7;2
100;1613;1;R_2Ua6QNaeuEx2PvP;1;22;2;65;2;1;4;1;1;4;3;4;2;1;5;1;2;5;1;1;7;1;4;7;1;1;3;1;4;5;1;1;4;1;4;6;1;3;6;2;3;5;1;1;7;1
100;423;1;R_1IurWi2CCbLNQo3;1;21;2;36;2;1;5;6;1;2;4;3;1;2;3;1;2;2;1;2;6;1;4;7;4;4;2;1;2;2;1;2;6;1;2;2;1;3;6;1;3;5;3;3;7;1
100;255;1;R_262sV9jRNCR1v7w;1;21;2;36;2;1;5;6;1;5;5;1;5;1;7;1;1;3;1;1;7;1;1;7;2;5;3;5;3;3;1;1;7;1;1;3;1;5;7;5;1;4;3;1;7;1
100;330;1;R_1jMPYmfQYY6w2tQ;1;19;2;36;2;1;3;6;1;3;2;2;1;1;6;1;2;2;1;1;4;1;3;4;4;3;4;1;2;2;1;3;4;1;2;1;1;2;2;1;2;4;1;2;4;1
100;310;1;R_1giMKq5e9B4R2l6;1;30;2;36;3;2;2;6;1;2;2;4;1;1;4;1;1;4;1;2;7;2;3;5;4;1;3;1;2;4;1;2;4;1;1;1;1;1;6;1;1;1;4;1;3;1
100;368;1;R_302UpelNhlk1fJk;1;21;2;36;3;4;5;4;3;2;3;4;3;3;4;2;2;4;3;1;4;2;3;7;3;4;5;3;4;4;4;3;4;2;3;4;3;3;3;2;3;6;3;3;3;2
100;692;1;R_33x1xoH37KEqIFH;1;24;2;36;3;1;3;6;1;2;2;5;1;1;5;1;4;6;1;1;3;1;1;7;4;1;3;1;1;5;1;1;6;1;1;1;1;2;7;1;2;7;4;2;7;1
100;302;1;R_0pmszf4F5VRwhC9;1;22;1;36;3;2;5;6;1;5;3;2;1;1;7;1;3;2;1;2;6;1;1;7;5;3;4;1;4;4;1;1;7;1;1;1;1;4;6;1;3;5;2;2;6;1
100;636;1;R_3qEcuv2aS5TKylV;1;23;2;36;3;2;4;6;1;4;5;4;5;2;4;1;4;2;1;2;6;1;4;6;4;4;4;1;4;4;1;2;5;1;4;1;2;3;6;1;1;6;3;4;6;1
100;344;1;R_RDktJQFeaaHnBjb;1;26;4;185;3;1;6;2;1;5;1;1;5;3;5;1;1;3;1;3;6;1;3;7;1;2;3;1;1;3;1;1;4;1;1;3;1;2;6;1;1;3;1;3;7;1
100;387;1;R_1pEbokGhvs8LmP3;1;27;2;160;3;1;6;1;1;3;2;2;1;3;5;1;2;2;1;4;6;1;4;6;1;3;3;2;3;6;1;3;6;1;3;5;1;2;2;1;2;2;1;1;6;1
100;365;1;R_3PcY2cVMNQNHHqS;1;24;2;36;4;1;4;6;1;3;4;3;2;1;6;1;2;1;1;2;7;1;3;7;4;2;3;2;3;4;1;1;6;1;2;1;1;2;6;1;3;6;5;3;6;1
100;296;1;R_8BaMb5aBx3eBOeJ;1;20;1;78;2;1;5;1;6;3;4;2;1;2;5;1;2;3;1;2;5;3;5;6;1;3;3;1;2;3;1;2;4;1;3;3;1;4;6;1;3;5;1;4;6;1
100;258;1;R_UoV1jBBjj8rya1H;1;20;1;78;2;1;6;1;6;3;5;3;5;5;5;5;4;2;2;3;5;4;4;6;3;3;2;2;3;5;1;4;6;5;4;2;1;2;6;1;4;3;4;3;6;1
100;414;1;R_2q4wErDfVnsVAjw;1;22;1;60;2;1;6;1;1;3;3;5;1;3;4;1;2;4;1;2;4;2;5;7;1;4;6;1;4;6;1;3;4;1;3;6;1;3;4;1;4;6;1;1;1;1
100;274;1;R_3lS3vIJ7IUnpR6u;1;19;1;78;2;1;5;1;6;4;3;2;1;5;7;5;3;2;1;3;7;5;3;3;1;3;3;1;3;5;1;5;5;4;4;3;1;2;4;1;5;5;1;3;6;1
100;344;1;R_0Cyn4XN6JneGJAl;1;20;1;78;3;3;6;1;3;3;4;5;1;5;7;5;3;3;1;4;6;5;3;5;1;4;4;1;4;6;1;5;5;5;2;4;1;4;6;3;2;5;1;5;6;1
100;279;1;R_vZRZzBUQfSflGet;1;20;2;78;3;1;6;1;6;4;5;7;4;5;7;5;4;1;2;5;7;5;1;4;1;1;7;2;1;4;1;4;2;4;1;4;1;5;7;5;1;4;3;1;4;1
100;339;1;R_Yc7u8pYsOQ5Q72F;1;26;1;122;3;6;5;1;1;4;4;3;5;2;5;1;1;3;2;2;5;1;1;6;1;3;3;2;2;4;4;2;4;1;2;3;1;2;5;3;3;4;1;1;7;4
100;575;1;R_3ISjvOYT5JdKiMK;1;20;1;104;2;1;6;2;1;2;3;3;4;1;6;1;1;1;1;1;5;1;1;5;1;1;3;1;1;3;1;1;6;1;1;4;1;2;4;1;1;3;1;1;5;1
100;308;1;R_24H1uMu8Bl61AmK;1;20;1;36;3;2;4;6;1;3;2;3;2;2;6;1;3;4;2;2;5;1;5;7;5;2;3;1;2;3;1;2;5;1;4;2;4;2;2;3;3;5;3;2;5;1
100;788;1;R_3EGp2C9UWXihflx;1;48;2;122;4;6;3;1;1;4;4;4;3;1;4;1;1;4;1;4;6;1;3;6;1;3;4;1;3;3;2;1;2;1;3;5;1;4;6;4;3;4;1;2;6;2
100;1821;1;R_6FkcjgaRh9GyLap;1;63;2;122;2;2;1;1;1;2;3;2;3;1;2;1;3;3;2;3;4;3;3;5;3;2;4;2;3;2;3;1;2;2;3;4;3;3;5;3;3;4;3;3;6;3
100;331;1;R_1INxAWDts0m9awC;1;21;1;9;3;1;4;1;5;2;5;7;5;3;4;5;3;4;1;1;1;1;2;5;5;5;7;5;1;1;1;1;1;1;1;4;1;4;6;5;1;1;1;2;4;1
100;499;1;R_12LMg8CF3lCW8Wx;1;22;1;36;4;1;3;6;1;2;2;2;1;1;4;1;3;2;1;1;6;1;5;7;5;2;4;1;3;5;1;1;5;1;1;2;1;2;6;1;3;4;2;2;7;1
100;472;1;R_2ZBsrbmRROcL0kE;1;20;1;78;2;1;6;1;6;2;3;2;3;5;7;5;1;1;1;4;7;4;5;6;1;3;3;1;3;6;1;4;5;2;2;3;1;3;5;1;3;4;1;2;5;1
100;363;1;R_3RgT2p36MbgVWRW;1;23;2;104;3;1;6;5;1;3;4;2;5;1;5;1;1;3;2;1;5;1;5;7;5;2;4;1;3;5;1;1;6;1;4;2;4;3;6;2;5;4;5;1;7;1
100;720;1;R_2432IUVBLlNDRra;1;20;1;78;2;1;5;1;3;2;2;4;1;3;5;3;2;4;1;4;4;1;2;4;1;3;4;1;3;4;1;2;4;1;2;4;1;3;4;1;2;4;1;2;5;1
100;680;1;R_9RFF45KhdwA2ktH;1;22;2;104;3;1;4;6;1;2;3;3;1;1;5;1;4;4;1;2;3;1;5;6;4;3;3;1;3;5;1;2;4;1;3;1;3;3;4;1;4;6;4;2;6;1
100;294;1;R_2ExVSKvwhZ5W3qu;1;22;1;104;2;1;5;6;1;5;2;4;2;2;4;1;3;5;3;2;4;1;5;7;5;5;5;4;2;4;1;3;7;1;5;3;5;2;4;1;5;7;5;3;5;2
100;483;1;R_3egYd07z2I9xSLy;1;20;2;78;2;1;5;1;3;2;3;2;1;4;7;5;2;6;1;1;7;4;3;5;1;2;1;1;2;2;1;2;6;1;2;4;1;1;4;1;3;7;1;4;7;1
100;780;1;R_2c58kb1u90kTld1;1;61;2;122;3;6;3;1;1;3;2;2;1;3;5;1;3;4;2;3;6;2;4;4;1;3;4;1;4;6;5;1;2;1;4;5;1;4;6;5;4;4;1;4;7;5
100;303;1;R_2YRLZweP2HvgGBh;1;23;1;104;3;1;4;5;1;2;4;3;2;3;5;1;4;2;1;3;4;1;5;7;5;5;4;1;5;7;1;4;6;3;5;2;5;2;6;1;4;4;5;3;6;1
100;869;1;R_1YyQUAsv4FhHOaB;1;45;2;187;3;6;6;1;1;2;3;1;4;1;3;1;1;4;1;1;1;1;4;7;1;1;4;1;3;7;2;2;1;1;3;7;1;2;3;4;2;6;1;1;7;1
100;509;1;R_1MRI8vtb4QQpS1g;1;50;1;122;4;6;5;1;1;2;3;2;5;3;5;1;1;1;1;2;3;1;2;7;1;4;2;5;3;5;1;2;2;1;1;2;1;3;7;5;1;2;1;1;7;2
100;759;1;R_2Xn6KMIzNquboYO;1;23;1;36;3;1;;6;1;4;5;7;5;1;4;1;1;4;1;1;4;1;2;4;1;4;4;2;1;4;1;1;4;1;1;4;1;1;4;1;1;4;1;1;4;1
100;61403;1;R_3ozn43gXG4Q2fpV;1;37;2;187;4;1;6;1;1;2;5;3;5;3;3;1;2;3;1;2;4;1;3;3;1;3;3;4;3;5;1;4;6;1;1;3;1;3;6;3;1;5;1;4;7;1
100;587;1;R_24CYattvLEdgbnm;1;24;2;104;3;6;5;4;1;4;4;3;3;1;4;1;3;2;1;3;5;1;4;6;4;2;1;1;2;5;4;1;3;1;4;2;2;4;6;3;4;6;3;3;7;4
100;351;1;R_DH09s3GgXbxSzBL;1;21;2;104;2;1;6;3;1;3;5;6;5;2;4;1;4;3;1;4;6;1;5;7;5;5;5;4;3;3;1;3;5;1;5;2;4;5;7;5;5;6;5;4;7;3
100;306;1;R_R9a4vZwOHrtaE81;1;21;2;104;2;1;5;6;1;5;4;3;1;2;3;1;3;3;1;4;7;1;5;6;4;3;3;1;4;5;1;4;7;1;5;1;5;4;7;1;4;5;5;5;7;1
100;427;1;R_1DtKDXh3D17jQ8o;1;20;2;104;2;1;5;6;1;4;3;2;3;2;4;1;3;2;1;2;6;1;3;5;2;3;3;1;2;3;1;2;6;1;2;2;1;3;6;3;2;3;1;2;6;1
100;592;1;R_2EskLAbRoYTZu3T;1;56;2;122;3;6;3;1;1;4;3;3;1;1;4;1;3;3;1;2;5;1;3;3;1;3;3;1;3;5;1;2;5;1;3;3;1;5;6;4;3;4;1;2;6;2
100;1338;1;R_3g0gTj5yiJrd8PC;1;25;1;104;4;3;6;6;1;2;3;3;2;2;3;1;2;4;1;1;5;1;2;6;1;2;3;1;2;3;1;1;5;1;2;4;1;3;6;1;3;5;2;2;5;1
100;720;1;R_bC9yHEcMTu7mhe9;1;19;1;185;2;1;6;1;1;2;2;2;2;1;5;1;1;3;1;1;6;1;3;6;1;1;2;1;2;3;1;3;6;1;2;5;1;2;5;1;1;3;1;2;6;1
100;426;1;R_UruuwAionW0ecOl;1;21;2;104;2;1;4;6;1;4;4;2;2;2;5;1;4;2;1;1;5;1;4;7;5;3;3;1;3;5;1;1;3;1;3;1;3;2;5;1;4;6;5;2;6;1
100;322;1;R_phh122nNyE8880h;1;22;1;104;2;1;4;3;1;5;3;6;1;3;5;1;4;2;1;2;5;1;1;1;4;4;2;1;3;6;1;2;5;1;5;7;2;4;7;3;4;5;4;4;6;1
100;269;1;R_3kEVXDFyDZt9Heg;1;20;2;104;3;1;6;6;1;2;2;4;1;1;4;1;2;4;1;1;4;1;3;4;2;2;4;1;1;4;1;2;4;1;3;3;2;1;4;1;2;3;2;1;4;1
100;618;1;R_2SwMOyTLbTRtk3U;1;21;2;104;2;1;5;5;1;3;2;4;2;1;4;1;2;4;1;1;4;1;3;5;3;2;6;1;2;5;2;1;4;1;3;5;1;3;5;2;3;5;3;1;4;1
100;371;1;R_26liHMifMR3OIs1;1;20;2;104;2;1;3;4;1;2;2;4;1;2;4;1;2;3;1;3;5;1;3;6;4;2;4;1;2;4;1;2;4;1;3;2;3;2;5;1;4;5;5;2;5;1
100;6799;1;R_2fpxJ1gCVLFCLN2;1;20;2;104;2;1;4;5;1;2;2;2;1;2;4;1;3;4;1;4;6;1;4;6;4;3;4;1;2;3;1;3;5;1;4;1;1;3;4;1;2;5;4;2;5;1
100;396;1;R_2q3hkv8NmeperDT;1;21;2;104;2;1;6;6;1;2;2;3;2;1;4;1;2;3;1;1;5;1;3;6;5;3;3;1;2;5;1;1;5;1;4;1;4;3;6;2;1;5;3;1;5;1
100;655;1;R_2c0jmx3Q1tSdQM2;1;21;2;104;2;1;3;4;1;3;3;4;2;2;4;1;3;4;1;2;7;1;4;7;4;3;3;1;2;6;1;1;6;1;5;1;4;2;7;1;5;7;4;2;7;1
100;859;1;R_Q0yTgO3th4mlg9b;1;20;2;104;2;1;4;6;1;3;3;2;1;1;5;1;4;3;1;3;5;1;5;6;4;3;4;2;2;2;1;1;5;1;4;1;3;2;6;1;5;4;5;4;7;1
100;1231;1;R_1DoQr1hHaFzSyvb;1;21;2;104;2;2;6;6;1;3;3;3;2;2;4;1;3;2;1;3;7;1;3;6;1;1;2;1;2;3;1;2;6;1;5;5;5;3;7;1;5;5;4;2;7;1
100;1007;1;R_3niJieG5ePzXEzx;1;57;1;122;3;6;4;1;1;3;2;2;1;1;5;1;2;2;1;3;3;2;4;5;1;2;2;1;3;3;1;1;4;1;3;4;1;3;6;3;3;4;1;2;6;1
100;777;1;R_3F3zhKi1uGgqsHT;1;26;1;78;1;1;2;1;1;3;1;3;1;1;5;1;1;4;1;1;4;1;1;4;1;1;3;1;3;4;1;1;6;1;2;2;1;1;4;1;2;7;1;2;6;1
100;1483;1;R_10VGxgbdYVBvzz1;1;25;1;104;4;1;5;4;1;5;2;2;1;1;5;1;4;2;1;2;6;1;3;6;1;2;2;1;2;6;1;2;6;1;4;3;3;2;6;1;5;3;3;3;7;1
100;507;1;R_0GtJPbvd4RvVI77;1;22;1;36;2;2;4;6;1;4;4;7;4;1;3;1;2;2;1;1;6;1;3;6;4;2;3;2;3;5;1;1;4;1;2;2;2;3;7;1;3;6;4;2;6;2
100;668;1;R_UrvAwQ4Kdevce0F;1;32;1;185;3;1;6;1;1;5;3;6;5;1;5;1;2;4;1;1;5;1;3;5;1;2;3;3;1;1;1;3;6;1;1;2;1;1;5;1;1;3;1;2;7;1
100;406;1;R_2zOPMry5fBYgTZZ;1;47;2;122;3;6;6;1;1;4;2;4;2;4;4;1;2;4;1;5;7;1;4;7;1;5;4;3;2;4;2;1;4;1;2;5;1;3;4;3;4;7;1;1;4;2
100;381;1;R_ymzpaElQ7jdJbix;1;25;2;185;3;1;6;1;1;4;5;1;5;2;3;1;2;4;2;2;4;1;3;4;1;2;1;5;1;3;1;2;3;1;2;1;1;2;3;2;2;1;1;2;7;1
100;597;1;R_wMmXmXg3oZqkI7L;1;20;2;78;2;1;5;1;4;4;3;1;1;4;7;5;1;1;1;4;5;5;3;7;1;2;1;1;2;4;1;2;4;1;1;7;1;1;7;1;2;6;1;1;7;1
100;434;1;R_2qgGnc4ufFZMVBD;1;21;2;142;3;2;5;1;1;2;3;3;2;1;3;1;1;2;1;1;6;1;3;4;1;4;4;2;2;4;1;1;6;1;2;3;1;4;6;4;2;4;1;1;7;1
100;307;1;R_1mrWnBc9AW3ifjX;1;21;2;45;2;1;5;1;1;4;4;3;1;2;4;1;1;5;1;3;4;1;3;4;1;3;3;1;2;4;1;3;5;1;2;5;1;3;6;1;3;5;1;1;7;1
100;267;1;R_1kHv10yV4fqyMn3;1;18;1;78;2;1;5;1;6;4;1;1;1;3;6;4;2;2;1;5;7;5;3;5;1;2;3;1;2;3;1;3;4;3;2;2;1;2;6;1;1;4;1;2;6;1
100;937;1;R_9BSUu1jpjbBcztf;1;19;2;78;2;1;5;1;6;5;4;4;1;5;7;5;3;4;1;5;7;5;4;7;1;2;3;5;1;5;1;5;7;5;3;5;1;1;4;1;2;5;1;3;5;1
100;468;1;R_2SAEH29yAwD434N;1;22;1;78;3;1;5;1;5;5;4;3;5;2;6;5;4;3;2;1;4;1;4;5;1;4;2;4;3;5;1;2;4;1;4;2;1;5;7;5;4;4;1;4;6;1
100;312;1;R_1r6XirzAu1bU8qs;1;22;2;78;4;1;5;1;5;4;4;1;3;5;7;5;2;2;1;4;4;5;3;7;1;1;1;1;2;4;1;3;5;3;2;1;1;1;6;1;3;5;1;3;7;1
100;532;1;R_22zB67GxUIMcwtC;1;19;2;78;2;1;5;1;4;2;3;2;3;5;6;5;2;5;2;4;6;5;3;6;1;4;2;2;3;3;1;4;5;5;2;5;2;3;5;3;2;6;1;3;6;2
100;1518;1;R_3FPxBaJUaKOO6e4;1;18;2;78;2;1;5;1;3;3;2;3;1;3;7;3;1;2;1;1;6;2;2;6;1;2;3;1;1;4;1;1;5;1;1;2;1;2;6;1;2;6;1;2;6;1
100;377;1;R_bEgBKnI0P6hohR7;1;19;2;185;3;1;6;1;6;2;4;2;4;5;7;5;3;3;3;4;4;5;2;4;4;3;4;4;1;2;2;3;5;3;2;4;2;4;4;4;1;3;3;3;4;2
100;392;1;R_337N9uPgS8xNVF6;1;20;2;78;3;1;5;1;3;4;3;3;1;5;7;4;2;3;1;5;6;1;4;6;1;3;4;1;4;5;1;3;5;1;3;3;1;4;7;1;3;2;1;4;7;1
100;13568;1;R_3dSRE2buuringPG;1;20;2;78;2;1;6;1;6;2;5;4;5;5;7;5;4;4;2;1;7;4;5;7;4;4;3;3;3;5;1;3;6;4;4;6;4;5;7;5;4;6;1;3;6;2
100;590;1;R_3hrTpjVMb82s6qW;1;18;2;78;2;1;5;1;5;2;3;2;1;5;7;5;3;3;1;3;6;4;5;6;1;3;4;1;3;6;1;3;6;3;4;3;1;4;5;2;4;5;1;4;7;2
100;611;1;R_uyNE3ZNJn3LpctP;1;20;1;110;3;1;5;1;6;3;5;3;5;1;5;4;2;3;1;4;6;5;2;6;1;2;3;1;2;6;1;2;4;2;2;2;1;2;6;1;1;3;1;2;7;1
100;511;1;R_3JyL2mHXYidWwI5;1;62;2;85;2;2;5;1;1;2;3;7;1;3;7;1;4;7;1;3;7;1;3;7;1;3;7;1;3;7;1;3;7;1;3;7;1;3;7;3;3;7;1;3;7;1
100;582;1;R_30bFZn4q6Jqr6Vx;1;62;2;1357;2;1;6;1;1;2;5;4;5;2;4;1;1;1;1;3;5;1;1;4;1;5;4;5;5;4;1;4;5;1;2;3;1;5;7;5;4;4;1;1;4;1
100;3069;1;R_2CUOKa9fvwtosMK;1;65;1;85;6;1;6;1;1;5;4;6;4;2;4;3;4;7;5;3;7;1;3;7;3;3;7;3;3;7;3;3;4;3;2;7;3;5;7;4;3;7;2;2;7;3
100;3730;1;R_2dvgixWtNBPNIGr;1;35;1;31;3;3;6;1;1;2;5;6;5;3;4;1;1;3;1;1;4;1;2;6;1;2;4;1;2;2;2;4;5;1;1;4;1;4;7;4;1;4;1;2;7;1
100;369;1;R_3qJA2e68Zy1eJI5;1;20;2;78;2;1;5;1;4;2;3;1;1;5;7;5;2;3;1;5;7;5;3;6;1;2;2;1;1;1;1;3;5;5;1;3;1;1;4;1;1;4;1;2;6;1
100;465;1;R_24vBKdWjeABRDQW;1;20;1;78;3;1;5;1;6;4;3;5;1;1;4;3;1;3;1;1;1;1;4;6;1;2;5;1;3;5;1;2;5;3;2;4;1;2;4;1;3;5;1;2;4;1
100;380;1;R_3sjoHwMLdSbkqW1;1;20;2;78;2;1;5;1;3;2;3;4;2;5;7;5;2;3;1;4;5;3;2;4;1;2;2;2;3;5;1;3;5;3;1;4;1;2;4;1;1;4;1;1;4;1
100;511;1;R_UKFijcDJyDtTeJr;1;20;2;78;2;1;5;1;6;4;3;4;1;5;6;5;3;5;1;5;7;5;4;4;1;3;3;2;2;4;1;4;6;4;3;5;1;2;5;1;3;5;1;3;5;1
100;352;1;R_1NfYTiYFnLrNc8U;1;19;1;78;3;1;5;1;6;3;3;1;1;3;7;5;2;2;2;3;7;5;3;5;1;3;3;1;3;3;1;5;7;5;2;4;1;3;3;1;4;4;1;3;5;1
